Gender,Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Past_Gift_Item,Past_Gift_Reaction,Recent_Purchase_1,Recent_Purchase_2,Recent_Purchase_3,Best_Gift
Other,28,Dating,Very High,Anniversary,Sentimental,5+ years,Technology,Personalized Gift,Liked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,25,Engaged,Low,Birthday,Practical,<6 months,Art,Personalized Gift,Loved it,Necklace,Hat,Handbag,Chocolates
Male,37,Single,Very High,Anniversary,Romantic,<6 months,Sports,Personalized Gift,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,52,Engaged,Very High,Anniversary,Adventurous,<6 months,Music,Chocolates,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,27,Single,High,Valentine's Day,Sentimental,3-5 years,Sports,Flowers,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,38,Single,Low,Anniversary,Sentimental,3-5 years,Cooking,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,21,Married,High,Valentine's Day,Sentimental,3-5 years,Music,Personalized Gift,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,40,Married,High,Anniversary,Practical,3-5 years,Fashion,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Subscription Service
Other,44,Single,Low,Anniversary,Sentimental,3-5 years,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,36,Married,Low,Just Because,Sentimental,<6 months,Fashion,Tech Gadget,Disliked it,Hat,Handbag,Earrings,Fashion Accessory
Other,23,Single,High,Birthday,Surprise,5+ years,Art,Tech Gadget,Loved it,Hat,Handbag,Earrings,Subscription Service
Male,55,Single,High,Just Because,Romantic,<6 months,Technology,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Female,42,Engaged,Low,Birthday,Surprise,3-5 years,Art,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Personalized Gift
Female,30,Engaged,Very High,Just Because,Adventurous,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,47,Dating,Very High,Anniversary,Adventurous,6-12 months,Art,Chocolates,Loved it,Earrings,Necklace,Hat,Personalized Gift
Male,48,Dating,High,Just Because,Practical,5+ years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Other,23,Married,Very High,Anniversary,Sentimental,3-5 years,Sports,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Other,28,Engaged,High,Just Because,Surprise,<6 months,Fashion,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Subscription Service
Male,58,Married,High,Birthday,Practical,5+ years,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Male,39,Single,Medium,Birthday,Sentimental,6-12 months,Technology,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Other,54,Engaged,Very High,Birthday,Sentimental,<6 months,Sports,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,35,Single,Medium,Birthday,Practical,3-5 years,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Female,42,Single,High,Just Because,Adventurous,<6 months,Music,Fashion Accessory,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,22,Engaged,High,Just Because,Sentimental,<6 months,Sports,Tech Gadget,Liked it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,28,Dating,Medium,Valentine's Day,Practical,6-12 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Female,34,Single,Low,Anniversary,Surprise,<6 months,Technology,Tech Gadget,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,50,Single,High,Birthday,Sentimental,5+ years,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Male,44,Dating,Low,Just Because,Surprise,<6 months,Fashion,Chocolates,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Female,42,Married,Medium,Anniversary,Surprise,5+ years,Art,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Personalized Gift
Male,32,Engaged,Medium,Anniversary,Romantic,5+ years,Music,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Other,38,Dating,Medium,Anniversary,Sentimental,<6 months,Cooking,Personalized Gift,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Female,30,Dating,Medium,Birthday,Adventurous,<6 months,Art,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Personalized Gift
Female,42,Engaged,Low,Birthday,Surprise,3-5 years,Art,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Fashion Accessory
Male,20,Dating,Very High,Just Because,Practical,1-3 years,Sports,Personalized Gift,Liked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,39,Dating,Low,Valentine's Day,Adventurous,6-12 months,Music,Chocolates,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Other,24,Dating,Very High,Birthday,Sentimental,6-12 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,22,Married,Medium,Birthday,Romantic,5+ years,Fashion,Flowers,Loved it,Necklace,Hat,Handbag,Tech Gadget
Other,36,Dating,Low,Just Because,Practical,5+ years,Fashion,Chocolates,Loved it,Hat,Handbag,Earrings,Subscription Service
Other,27,Engaged,Medium,Valentine's Day,Romantic,5+ years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,36,Engaged,Low,Anniversary,Surprise,6-12 months,Technology,Fashion Accessory,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,44,Engaged,Low,Birthday,Adventurous,<6 months,Technology,Chocolates,Disliked it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Other,43,Engaged,Low,Anniversary,Romantic,<6 months,Technology,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,59,Married,High,Just Because,Surprise,5+ years,Art,Subscription Service,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,32,Single,Very High,Just Because,Adventurous,3-5 years,Technology,Fashion Accessory,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,31,Dating,High,Birthday,Practical,1-3 years,Music,Flowers,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,31,Engaged,High,Just Because,Practical,5+ years,Fashion,Subscription Service,Disliked it,Necklace,Hat,Handbag,Chocolates
Male,35,Married,Medium,Just Because,Romantic,1-3 years,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Tech Gadget
Male,51,Single,Low,Just Because,Surprise,1-3 years,Cooking,Subscription Service,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,28,Engaged,Medium,Just Because,Romantic,<6 months,Fashion,Personalized Gift,Loved it,Hat,Handbag,Earrings,Flowers
Other,34,Married,Low,Birthday,Romantic,1-3 years,Sports,Tech Gadget,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,51,Married,Low,Just Because,Adventurous,1-3 years,Technology,Fashion Accessory,Liked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,28,Engaged,Low,Valentine's Day,Surprise,6-12 months,Fashion,Fashion Accessory,Liked it,Necklace,Hat,Handbag,Personalized Gift
Female,34,Dating,Low,Valentine's Day,Surprise,<6 months,Fashion,Subscription Service,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Female,24,Married,Very High,Just Because,Romantic,3-5 years,Art,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Personalized Gift
Other,53,Dating,Medium,Anniversary,Sentimental,6-12 months,Technology,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,42,Dating,High,Valentine's Day,Surprise,3-5 years,Technology,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Female,49,Engaged,Medium,Anniversary,Practical,6-12 months,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Female,50,Single,Medium,Just Because,Romantic,3-5 years,Cooking,Personalized Gift,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Female,40,Single,Very High,Just Because,Romantic,3-5 years,Cooking,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,32,Dating,Very High,Anniversary,Romantic,6-12 months,Fashion,Flowers,Loved it,Hat,Handbag,Earrings,Personalized Gift
Male,41,Engaged,Low,Birthday,Sentimental,1-3 years,Music,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,29,Single,Medium,Just Because,Adventurous,<6 months,Sports,Chocolates,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,35,Single,Medium,Anniversary,Surprise,<6 months,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Female,43,Single,Very High,Anniversary,Romantic,3-5 years,Fashion,Tech Gadget,Liked it,Necklace,Hat,Handbag,Personalized Gift
Other,38,Single,Low,Just Because,Adventurous,1-3 years,Technology,Tech Gadget,Liked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Other,49,Engaged,Medium,Just Because,Sentimental,1-3 years,Technology,Personalized Gift,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,54,Single,High,Valentine's Day,Practical,1-3 years,Art,Tech Gadget,Liked it,Handbag,Earrings,Necklace,Subscription Service
Female,60,Single,Very High,Anniversary,Practical,5+ years,Music,Fashion Accessory,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,24,Single,Low,Just Because,Adventurous,<6 months,Art,Personalized Gift,Loved it,Necklace,Hat,Handbag,Subscription Service
Male,55,Single,High,Valentine's Day,Practical,3-5 years,Cooking,Subscription Service,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Female,57,Married,Very High,Birthday,Romantic,3-5 years,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,50,Dating,High,Valentine's Day,Sentimental,<6 months,Sports,Personalized Gift,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Female,31,Engaged,Low,Valentine's Day,Adventurous,6-12 months,Technology,Tech Gadget,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Male,56,Dating,Low,Birthday,Sentimental,1-3 years,Art,Tech Gadget,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Female,46,Single,High,Birthday,Romantic,5+ years,Fashion,Subscription Service,Liked it,Handbag,Earrings,Necklace,Flowers
Other,41,Married,High,Birthday,Romantic,5+ years,Cooking,Subscription Service,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Female,53,Married,High,Anniversary,Surprise,3-5 years,Art,Flowers,Disliked it,Earrings,Necklace,Hat,Fashion Accessory
Female,45,Engaged,High,Anniversary,Surprise,3-5 years,Cooking,Chocolates,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,50,Single,Very High,Valentine's Day,Practical,<6 months,Technology,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Other,21,Engaged,Medium,Just Because,Romantic,1-3 years,Art,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Subscription Service
Female,52,Engaged,High,Just Because,Surprise,1-3 years,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,42,Single,High,Valentine's Day,Surprise,6-12 months,Fashion,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Personalized Gift
Male,31,Engaged,Very High,Valentine's Day,Sentimental,6-12 months,Technology,Flowers,Loved it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Female,24,Single,High,Just Because,Surprise,5+ years,Music,Personalized Gift,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Female,53,Dating,Medium,Valentine's Day,Adventurous,<6 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,49,Single,Medium,Just Because,Adventurous,1-3 years,Art,Subscription Service,Loved it,Hat,Handbag,Earrings,Chocolates
Male,39,Dating,Low,Birthday,Sentimental,5+ years,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Tech Gadget
Male,53,Single,Very High,Just Because,Practical,<6 months,Fashion,Flowers,Liked it,Handbag,Earrings,Necklace,Personalized Gift
Other,60,Married,Very High,Anniversary,Sentimental,6-12 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,41,Single,High,Just Because,Romantic,5+ years,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Tech Gadget
Female,45,Engaged,Medium,Anniversary,Romantic,1-3 years,Fashion,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Other,44,Married,Medium,Valentine's Day,Practical,6-12 months,Cooking,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,43,Dating,Very High,Birthday,Practical,6-12 months,Music,Tech Gadget,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Female,53,Dating,Low,Anniversary,Surprise,1-3 years,Sports,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,24,Single,Medium,Just Because,Surprise,3-5 years,Fashion,Fashion Accessory,Liked it,Handbag,Earrings,Necklace,Subscription Service
Other,42,Married,Medium,Just Because,Romantic,1-3 years,Music,Personalized Gift,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,21,Engaged,Medium,Just Because,Romantic,3-5 years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Flowers
Other,59,Engaged,Medium,Just Because,Practical,6-12 months,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,23,Single,Medium,Valentine's Day,Practical,6-12 months,Music,Flowers,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Other,46,Single,High,Birthday,Surprise,5+ years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,50,Single,High,Birthday,Sentimental,5+ years,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Other,27,Single,Medium,Anniversary,Practical,1-3 years,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Chocolates
Other,52,Dating,Very High,Valentine's Day,Sentimental,<6 months,Music,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,20,Dating,High,Anniversary,Adventurous,<6 months,Music,Fashion Accessory,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,36,Single,Low,Birthday,Adventurous,<6 months,Music,Flowers,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Other,40,Dating,High,Birthday,Adventurous,6-12 months,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Male,42,Engaged,Medium,Valentine's Day,Sentimental,6-12 months,Music,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,56,Engaged,Low,Birthday,Practical,6-12 months,Art,Fashion Accessory,Disliked it,Earrings,Necklace,Hat,Subscription Service
Male,43,Married,Very High,Valentine's Day,Romantic,<6 months,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Other,34,Dating,Low,Just Because,Surprise,3-5 years,Sports,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Female,49,Engaged,Medium,Anniversary,Practical,6-12 months,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Other,55,Dating,Very High,Just Because,Romantic,5+ years,Fashion,Chocolates,Loved it,Necklace,Hat,Handbag,Personalized Gift
Male,58,Single,Very High,Just Because,Romantic,<6 months,Cooking,Tech Gadget,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Female,37,Engaged,Low,Just Because,Sentimental,1-3 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,23,Single,High,Birthday,Surprise,5+ years,Art,Tech Gadget,Loved it,Hat,Handbag,Earrings,Subscription Service
Female,39,Married,Medium,Just Because,Practical,6-12 months,Fashion,Fashion Accessory,Loved it,Handbag,Earrings,Necklace,Chocolates
Other,59,Married,Very High,Just Because,Practical,1-3 years,Music,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,31,Engaged,High,Just Because,Practical,5+ years,Fashion,Subscription Service,Disliked it,Necklace,Hat,Handbag,Chocolates
Male,34,Married,High,Just Because,Romantic,6-12 months,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Flowers
Female,25,Engaged,Low,Valentine's Day,Sentimental,6-12 months,Fashion,Personalized Gift,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Other,41,Dating,High,Birthday,Adventurous,6-12 months,Fashion,Tech Gadget,Disliked it,Earrings,Necklace,Hat,Subscription Service
Female,27,Engaged,Medium,Just Because,Practical,5+ years,Fashion,Fashion Accessory,Liked it,Handbag,Earrings,Necklace,Chocolates
Male,29,Single,Medium,Birthday,Practical,5+ years,Art,Tech Gadget,Liked it,Hat,Handbag,Earrings,Chocolates
Other,28,Engaged,Very High,Just Because,Romantic,3-5 years,Art,Flowers,Loved it,Handbag,Earrings,Necklace,Personalized Gift
Male,52,Married,Very High,Anniversary,Surprise,3-5 years,Cooking,Flowers,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Other,43,Engaged,High,Valentine's Day,Adventurous,6-12 months,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Male,46,Dating,High,Valentine's Day,Sentimental,3-5 years,Music,Personalized Gift,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Female,52,Engaged,High,Just Because,Surprise,1-3 years,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Other,59,Married,Low,Just Because,Practical,5+ years,Sports,Personalized Gift,Liked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,25,Dating,Very High,Anniversary,Practical,5+ years,Sports,Fashion Accessory,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,38,Dating,High,Birthday,Surprise,5+ years,Cooking,Tech Gadget,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Male,25,Married,High,Birthday,Sentimental,6-12 months,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Fashion Accessory
Other,38,Single,Very High,Valentine's Day,Surprise,1-3 years,Technology,Fashion Accessory,Liked it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Male,54,Dating,Medium,Anniversary,Sentimental,3-5 years,Art,Chocolates,Loved it,Hat,Handbag,Earrings,Fashion Accessory
Male,21,Single,High,Birthday,Practical,1-3 years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Chocolates
Other,29,Married,High,Anniversary,Sentimental,1-3 years,Art,Fashion Accessory,Loved it,Earrings,Necklace,Hat,Subscription Service
Female,36,Single,High,Just Because,Practical,3-5 years,Music,Chocolates,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Other,44,Single,Low,Anniversary,Sentimental,3-5 years,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,50,Single,High,Birthday,Sentimental,5+ years,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Female,22,Single,Medium,Anniversary,Practical,3-5 years,Music,Fashion Accessory,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Other,36,Engaged,Very High,Valentine's Day,Practical,3-5 years,Cooking,Personalized Gift,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Male,53,Single,Very High,Just Because,Practical,<6 months,Fashion,Flowers,Liked it,Handbag,Earrings,Necklace,Personalized Gift
Male,58,Married,High,Birthday,Practical,5+ years,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Male,47,Engaged,Low,Just Because,Sentimental,1-3 years,Fashion,Flowers,Loved it,Hat,Handbag,Earrings,Fashion Accessory
Other,43,Married,Low,Birthday,Practical,1-3 years,Music,Flowers,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,58,Single,Low,Anniversary,Surprise,6-12 months,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Male,39,Married,Low,Just Because,Adventurous,5+ years,Technology,Chocolates,Disliked it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Female,58,Engaged,Medium,Anniversary,Practical,1-3 years,Art,Flowers,Liked it,Handbag,Earrings,Necklace,Chocolates
Female,42,Dating,High,Anniversary,Romantic,1-3 years,Music,Subscription Service,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Female,50,Single,Very High,Anniversary,Romantic,3-5 years,Art,Personalized Gift,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Male,39,Engaged,Medium,Just Because,Practical,1-3 years,Music,Chocolates,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Female,41,Single,Low,Anniversary,Romantic,1-3 years,Cooking,Flowers,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Tech Gadget
Male,33,Dating,Very High,Valentine's Day,Surprise,5+ years,Technology,Fashion Accessory,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,24,Married,Very High,Anniversary,Practical,6-12 months,Music,Tech Gadget,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Male,52,Engaged,Very High,Anniversary,Adventurous,<6 months,Music,Chocolates,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,42,Engaged,High,Just Because,Sentimental,3-5 years,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Subscription Service
Other,26,Married,High,Valentine's Day,Romantic,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,38,Single,Medium,Birthday,Romantic,<6 months,Music,Tech Gadget,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Male,50,Single,Medium,Valentine's Day,Sentimental,5+ years,Sports,Subscription Service,Loved it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Other,53,Married,Medium,Anniversary,Surprise,5+ years,Art,Subscription Service,Disliked it,Earrings,Necklace,Hat,Chocolates
Female,41,Dating,Medium,Birthday,Surprise,6-12 months,Music,Subscription Service,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,22,Married,Low,Just Because,Romantic,1-3 years,Technology,Tech Gadget,Disliked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Male,30,Single,Medium,Valentine's Day,Sentimental,<6 months,Music,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Male,57,Dating,Very High,Anniversary,Romantic,<6 months,Fashion,Subscription Service,Loved it,Necklace,Hat,Handbag,Personalized Gift
Female,39,Married,Medium,Just Because,Practical,6-12 months,Fashion,Fashion Accessory,Loved it,Handbag,Earrings,Necklace,Chocolates
Other,27,Married,Medium,Anniversary,Sentimental,1-3 years,Sports,Personalized Gift,Liked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Other,48,Engaged,Very High,Just Because,Romantic,5+ years,Art,Personalized Gift,Disliked it,Hat,Handbag,Earrings,Subscription Service
Other,43,Engaged,High,Valentine's Day,Adventurous,6-12 months,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,52,Married,Very High,Just Because,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Female,54,Engaged,Very High,Anniversary,Practical,1-3 years,Technology,Chocolates,Liked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,44,Single,High,Anniversary,Practical,3-5 years,Sports,Subscription Service,Liked it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Female,27,Dating,High,Just Because,Practical,3-5 years,Art,Subscription Service,Liked it,Necklace,Hat,Handbag,Chocolates
Male,49,Single,Medium,Valentine's Day,Practical,6-12 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Chocolates
Male,54,Single,Very High,Birthday,Surprise,3-5 years,Sports,Personalized Gift,Disliked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Female,52,Dating,Very High,Just Because,Surprise,5+ years,Art,Subscription Service,Loved it,Earrings,Necklace,Hat,Personalized Gift
Other,28,Single,Very High,Birthday,Practical,<6 months,Music,Chocolates,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Female,29,Single,High,Birthday,Surprise,6-12 months,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,50,Married,Low,Just Because,Adventurous,1-3 years,Cooking,Chocolates,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Female,25,Dating,Medium,Just Because,Adventurous,1-3 years,Fashion,Subscription Service,Liked it,Hat,Handbag,Earrings,Fashion Accessory
Female,27,Dating,Very High,Birthday,Sentimental,3-5 years,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,35,Single,High,Birthday,Romantic,5+ years,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Male,23,Dating,Low,Just Because,Practical,5+ years,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Flowers
Female,59,Dating,Very High,Birthday,Adventurous,1-3 years,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Personalized Gift
Male,31,Dating,Low,Birthday,Adventurous,5+ years,Technology,Personalized Gift,Liked it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Female,56,Single,High,Just Because,Romantic,3-5 years,Cooking,Subscription Service,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Female,44,Dating,Medium,Birthday,Sentimental,6-12 months,Fashion,Tech Gadget,Disliked it,Necklace,Hat,Handbag,Fashion Accessory
Male,37,Dating,Medium,Valentine's Day,Sentimental,1-3 years,Sports,Flowers,Loved it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Male,50,Married,Low,Just Because,Adventurous,<6 months,Art,Chocolates,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Female,35,Single,Medium,Anniversary,Surprise,<6 months,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Male,53,Single,Very High,Just Because,Practical,<6 months,Fashion,Flowers,Liked it,Handbag,Earrings,Necklace,Personalized Gift
Male,33,Engaged,Very High,Anniversary,Sentimental,1-3 years,Fashion,Subscription Service,Liked it,Hat,Handbag,Earrings,Personalized Gift
Male,21,Married,High,Anniversary,Romantic,1-3 years,Technology,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Female,49,Engaged,Medium,Anniversary,Romantic,3-5 years,Technology,Tech Gadget,Loved it,Phone Charger,Smart Speaker,Processor Chip,Flowers
