Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Female,18,Married,High ($100-$500),Long-Distance Valentine,Surprise,<6 months,Technology,Loves surprises,Moderately Popular,Celebration,Neutral,In-Person,No Wrapping,Perfume
Male,47,Dating,High ($100-$500),Casual Valentine,Surprise,3+ years,Fashion,Loves surprises,Moderately Popular,Celebration,Disliked,In-Person,Minimalist,Tech Gadgets
Other,23,Married,Low (<$20),First Valentine,Romantic,1-3 years,Gaming,Enjoys luxury items,Moderately Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Personalized Gift
Non-Binary,29,Dating,Medium ($20-$100),First Valentine,Sentimental,1-3 years,Gaming,Loves surprises,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Handmade Gift
Male,18,Married,Luxury (>$500),Long-Distance Valentine,Practical,6 months - 1 year,Cooking,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,No Wrapping,Chocolates
Male,33,Dating,Low (<$20),First Valentine,Luxury,6 months - 1 year,Gaming,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,24,Single,Low (<$20),Long-Distance Valentine,Surprise,3+ years,Travel,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,Planned Surprise,Eco-Friendly,Fashion Accessories
Non-Binary,29,Complicated,High ($100-$500),Anniversary Valentine,Sentimental,<6 months,Travel,Loves surprises,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,32,Dating,Luxury (>$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Technology,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Eco-Friendly,Tech Gadgets
Other,26,Complicated,Medium ($20-$100),Long-Distance Valentine,Romantic,<6 months,Gaming,Handmade gifts appreciated,Moderately Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,Subscription Service
Male,23,Dating,High ($100-$500),Long-Distance Valentine,Romantic,<6 months,Fashion,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,Minimalist,Handmade Gift
Other,40,Single,Luxury (>$500),Long-Distance Valentine,Sentimental,1-3 years,Music,Prefers practical gifts,Moderately Popular,Celebration,Disliked,In-Person,Eco-Friendly,Tech Gadgets
Other,36,Single,Medium ($20-$100),First Valentine,Surprise,<6 months,Fitness,Handmade gifts appreciated,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,No Wrapping,Personalized Gift
Other,18,Dating,High ($100-$500),Long-Distance Valentine,Romantic,3+ years,Sports,Tech-savvy,Moderately Popular,Apology,Disliked,Online Delivery,No Wrapping,Jewelry
Other,29,Dating,High ($100-$500),Anniversary Valentine,Sentimental,<6 months,Gaming,Prefers experiences over items,Rare Choice,Expression of Love,Neutral,Planned Surprise,No Wrapping,Tech Gadgets
Non-Binary,30,Single,Luxury (>$500),Long-Distance Valentine,Fun,1-3 years,Reading,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Fancy Wrapping,Fashion Accessories
Other,30,Married,Medium ($20-$100),Long-Distance Valentine,Surprise,<6 months,Travel,Prefers practical gifts,Moderately Popular,Celebration,Neutral,Online Delivery,Fancy Wrapping,Perfume
Other,56,Dating,High ($100-$500),Long-Distance Valentine,Sentimental,3+ years,Fashion,Loves surprises,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Minimalist,Fashion Accessories
Male,47,Engaged,Luxury (>$500),Anniversary Valentine,Luxury,<6 months,Art,Tech-savvy,Moderately Popular,Apology,Neutral,Courier,Eco-Friendly,Chocolates
Female,26,Married,Low (<$20),Anniversary Valentine,Practical,3+ years,Art,Tech-savvy,Rare Choice,Apology,Never Given Gift Before,Planned Surprise,Minimalist,Flowers
Female,25,Married,High ($100-$500),Casual Valentine,Fun,6 months - 1 year,Technology,Enjoys luxury items,Moderately Popular,Expression of Love,Neutral,Courier,No Wrapping,Handmade Gift
Other,33,Dating,Luxury (>$500),Long-Distance Valentine,Romantic,<6 months,Gaming,Loves surprises,Moderately Popular,Expression of Love,Disliked,Courier,Eco-Friendly,Handmade Gift
Other,57,Dating,Low (<$20),Anniversary Valentine,Romantic,3+ years,Sports,Prefers experiences over items,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,No Wrapping,Jewelry
Other,57,Single,Medium ($20-$100),Long-Distance Valentine,Fun,3+ years,Fashion,Prefers experiences over items,Rare Choice,Celebration,Neutral,In-Person,Eco-Friendly,Jewelry
Non-Binary,46,Complicated,Medium ($20-$100),Anniversary Valentine,Romantic,6 months - 1 year,Reading,Handmade gifts appreciated,Very Popular,Celebration,Disliked,In-Person,Eco-Friendly,Personalized Gift
Female,29,Engaged,Low (<$20),Anniversary Valentine,Sentimental,3+ years,Art,Prefers practical gifts,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Eco-Friendly,Perfume
Non-Binary,28,Engaged,High ($100-$500),Anniversary Valentine,Practical,3+ years,Sports,Handmade gifts appreciated,Moderately Popular,Celebration,Neutral,In-Person,Eco-Friendly,Chocolates
Non-Binary,35,Married,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Art,Prefers practical gifts,Moderately Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,32,Complicated,Luxury (>$500),First Valentine,Romantic,<6 months,Fashion,Has allergies,Rare Choice,Celebration,Neutral,Planned Surprise,Fancy Wrapping,Perfume
Male,36,Complicated,Luxury (>$500),Long-Distance Valentine,Romantic,<6 months,Cooking,Has allergies,Rare Choice,Celebration,Disliked,Planned Surprise,No Wrapping,Tech Gadgets
Female,22,Complicated,Low (<$20),Casual Valentine,Practical,3+ years,Music,Tech-savvy,Rare Choice,Apology,Highly Appreciated,Online Delivery,Eco-Friendly,Tech Gadgets
Other,37,Engaged,Luxury (>$500),Anniversary Valentine,Practical,3+ years,Reading,Prefers practical gifts,Very Popular,Celebration,Neutral,In-Person,Fancy Wrapping,Chocolates
Male,21,Married,Low (<$20),Casual Valentine,Luxury,1-3 years,Technology,Has allergies,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,No Wrapping,Handmade Gift
Other,38,Single,High ($100-$500),Anniversary Valentine,Fun,3+ years,Fashion,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,In-Person,Minimalist,Flowers
Male,34,Single,Medium ($20-$100),Anniversary Valentine,Surprise,<6 months,Cooking,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Never Given Gift Before,In-Person,Minimalist,Fashion Accessories
Non-Binary,24,Dating,Luxury (>$500),Casual Valentine,Luxury,3+ years,Technology,Prefers practical gifts,Very Popular,Expression of Love,Disliked,Online Delivery,Minimalist,Jewelry
Male,59,Single,Low (<$20),Casual Valentine,Surprise,6 months - 1 year,Fashion,Tech-savvy,Rare Choice,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,Perfume
Male,24,Engaged,Medium ($20-$100),First Valentine,Sentimental,1-3 years,Gaming,Loves surprises,Very Popular,Spontaneous Surprise,Disliked,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,39,Complicated,Luxury (>$500),Anniversary Valentine,Romantic,6 months - 1 year,Technology,Prefers experiences over items,Very Popular,Celebration,Neutral,Courier,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,39,Complicated,High ($100-$500),Long-Distance Valentine,Luxury,<6 months,Cooking,Tech-savvy,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Perfume
Other,29,Married,Luxury (>$500),Anniversary Valentine,Romantic,6 months - 1 year,Sports,Tech-savvy,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,No Wrapping,Perfume
Male,34,Complicated,Medium ($20-$100),Casual Valentine,Sentimental,6 months - 1 year,Sports,Prefers practical gifts,Very Popular,Apology,Neutral,Online Delivery,Minimalist,Perfume
Non-Binary,18,Engaged,High ($100-$500),Anniversary Valentine,Practical,<6 months,Travel,Enjoys luxury items,Rare Choice,Expression of Love,Never Given Gift Before,Courier,Eco-Friendly,Personalized Gift
Other,43,Engaged,Low (<$20),Long-Distance Valentine,Practical,1-3 years,Reading,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Fancy Wrapping,Personalized Gift
Female,21,Single,Luxury (>$500),Long-Distance Valentine,Sentimental,3+ years,Art,Prefers experiences over items,Rare Choice,Celebration,Disliked,Courier,Minimalist,Handmade Gift
Female,56,Dating,Medium ($20-$100),Casual Valentine,Surprise,1-3 years,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Tech Gadgets
Male,49,Single,Luxury (>$500),Long-Distance Valentine,Practical,3+ years,Reading,Tech-savvy,Rare Choice,Apology,Never Given Gift Before,Online Delivery,No Wrapping,Tech Gadgets
Male,59,Single,High ($100-$500),Anniversary Valentine,Fun,1-3 years,Music,Has allergies,Rare Choice,Apology,Never Given Gift Before,Planned Surprise,Minimalist,Flowers
Female,23,Single,Luxury (>$500),Long-Distance Valentine,Surprise,6 months - 1 year,Travel,Has allergies,Rare Choice,Celebration,Disliked,Courier,Minimalist,Perfume
Non-Binary,39,Married,Medium ($20-$100),Long-Distance Valentine,Practical,6 months - 1 year,Sports,Prefers experiences over items,Very Popular,Apology,Highly Appreciated,In-Person,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,59,Single,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Sports,Loves surprises,Moderately Popular,Celebration,Neutral,Online Delivery,Fancy Wrapping,Tech Gadgets
Male,21,Complicated,High ($100-$500),First Valentine,Luxury,<6 months,Art,Prefers practical gifts,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Eco-Friendly,Flowers
Female,26,Single,Luxury (>$500),Casual Valentine,Practical,6 months - 1 year,Travel,Has allergies,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,Chocolates
Female,57,Complicated,Low (<$20),Long-Distance Valentine,Fun,6 months - 1 year,Cooking,Enjoys luxury items,Moderately Popular,Expression of Love,Disliked,Online Delivery,Minimalist,Perfume
Female,43,Single,High ($100-$500),Casual Valentine,Practical,<6 months,Gaming,Loves surprises,Very Popular,Apology,Never Given Gift Before,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,47,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,<6 months,Reading,Prefers experiences over items,Very Popular,Apology,Disliked,Online Delivery,Fancy Wrapping,Tech Gadgets
Male,46,Married,Medium ($20-$100),Anniversary Valentine,Practical,3+ years,Reading,Has allergies,Moderately Popular,Spontaneous Surprise,Disliked,Online Delivery,No Wrapping,Fashion Accessories
Male,57,Engaged,High ($100-$500),First Valentine,Romantic,3+ years,Sports,Tech-savvy,Rare Choice,Spontaneous Surprise,Neutral,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,51,Single,High ($100-$500),Long-Distance Valentine,Sentimental,3+ years,Gaming,Loves surprises,Very Popular,Apology,Neutral,Courier,Minimalist,Perfume
Other,35,Single,Medium ($20-$100),Anniversary Valentine,Practical,1-3 years,Fitness,Loves surprises,Very Popular,Apology,Highly Appreciated,In-Person,Minimalist,Fashion Accessories
Non-Binary,48,Engaged,Low (<$20),First Valentine,Luxury,3+ years,Fitness,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,Fancy Wrapping,Chocolates
Female,29,Single,High ($100-$500),First Valentine,Fun,1-3 years,Fitness,Tech-savvy,Very Popular,Expression of Love,Neutral,Planned Surprise,Eco-Friendly,Chocolates
Female,47,Complicated,Low (<$20),Casual Valentine,Surprise,1-3 years,Reading,Loves surprises,Moderately Popular,Celebration,Highly Appreciated,Courier,No Wrapping,Jewelry
Non-Binary,50,Complicated,High ($100-$500),First Valentine,Luxury,<6 months,Cooking,Enjoys luxury items,Very Popular,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Tech Gadgets
Female,26,Complicated,Medium ($20-$100),Long-Distance Valentine,Fun,1-3 years,Reading,Loves surprises,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,Eco-Friendly,Subscription Service
Female,45,Single,Medium ($20-$100),Casual Valentine,Surprise,1-3 years,Music,Prefers experiences over items,Rare Choice,Celebration,Disliked,Courier,Minimalist,Flowers
Other,29,Dating,Luxury (>$500),First Valentine,Luxury,1-3 years,Reading,Has allergies,Very Popular,Expression of Love,Never Given Gift Before,Courier,No Wrapping,Tech Gadgets
Non-Binary,43,Single,High ($100-$500),Anniversary Valentine,Practical,3+ years,Sports,Enjoys luxury items,Rare Choice,Apology,Disliked,Courier,Fancy Wrapping,Tech Gadgets
Female,42,Married,High ($100-$500),Anniversary Valentine,Romantic,1-3 years,Travel,Handmade gifts appreciated,Very Popular,Celebration,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Subscription Service
Male,52,Complicated,High ($100-$500),First Valentine,Sentimental,3+ years,Music,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Neutral,In-Person,Minimalist,Flowers
Male,56,Dating,Medium ($20-$100),First Valentine,Practical,3+ years,Cooking,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,41,Single,Low (<$20),First Valentine,Surprise,6 months - 1 year,Music,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,Courier,Eco-Friendly,Fashion Accessories
Male,31,Engaged,Low (<$20),Anniversary Valentine,Practical,6 months - 1 year,Reading,Loves surprises,Moderately Popular,Celebration,Neutral,Online Delivery,No Wrapping,Chocolates
Male,38,Complicated,Low (<$20),Casual Valentine,Surprise,<6 months,Cooking,Loves surprises,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Flowers
Other,27,Complicated,Luxury (>$500),Casual Valentine,Practical,<6 months,Sports,Prefers practical gifts,Moderately Popular,Expression of Love,Neutral,Courier,No Wrapping,Chocolates
Male,36,Engaged,Medium ($20-$100),Long-Distance Valentine,Luxury,6 months - 1 year,Cooking,Loves surprises,Rare Choice,Expression of Love,Neutral,Online Delivery,Fancy Wrapping,Flowers
Non-Binary,48,Complicated,Medium ($20-$100),Anniversary Valentine,Surprise,3+ years,Music,Prefers practical gifts,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Minimalist,Personalized Gift
Female,36,Single,Medium ($20-$100),Long-Distance Valentine,Romantic,3+ years,Cooking,Tech-savvy,Rare Choice,Apology,Neutral,Courier,Eco-Friendly,Handmade Gift
Other,50,Engaged,Low (<$20),Casual Valentine,Sentimental,<6 months,Travel,Prefers experiences over items,Very Popular,Expression of Love,Never Given Gift Before,Courier,No Wrapping,Subscription Service
Non-Binary,38,Engaged,High ($100-$500),First Valentine,Sentimental,3+ years,Travel,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,In-Person,Fancy Wrapping,Jewelry
Male,54,Engaged,Low (<$20),First Valentine,Sentimental,<6 months,Art,Prefers practical gifts,Very Popular,Spontaneous Surprise,Disliked,Courier,Eco-Friendly,Handmade Gift
Other,38,Complicated,Luxury (>$500),Casual Valentine,Practical,3+ years,Gaming,Prefers experiences over items,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,Eco-Friendly,Personalized Gift
Male,29,Married,High ($100-$500),First Valentine,Luxury,1-3 years,Music,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Neutral,In-Person,No Wrapping,Flowers
Male,45,Single,Low (<$20),Anniversary Valentine,Romantic,6 months - 1 year,Technology,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,Tech Gadgets
Other,26,Married,Luxury (>$500),Casual Valentine,Romantic,6 months - 1 year,Travel,Has allergies,Rare Choice,Expression of Love,Neutral,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,53,Complicated,High ($100-$500),Casual Valentine,Romantic,3+ years,Reading,Prefers experiences over items,Rare Choice,Celebration,Never Given Gift Before,In-Person,No Wrapping,Fashion Accessories
Non-Binary,40,Married,Medium ($20-$100),Anniversary Valentine,Romantic,<6 months,Cooking,Enjoys luxury items,Very Popular,Spontaneous Surprise,Neutral,In-Person,Fancy Wrapping,Personalized Gift
Male,50,Dating,Luxury (>$500),Long-Distance Valentine,Romantic,3+ years,Art,Loves surprises,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,No Wrapping,Personalized Gift
Female,34,Married,Medium ($20-$100),Anniversary Valentine,Practical,6 months - 1 year,Music,Prefers practical gifts,Very Popular,Celebration,Neutral,In-Person,Minimalist,Handmade Gift
Male,23,Married,High ($100-$500),Anniversary Valentine,Luxury,6 months - 1 year,Gaming,Prefers experiences over items,Moderately Popular,Expression of Love,Disliked,In-Person,Minimalist,Chocolates
Male,24,Single,Low (<$20),Anniversary Valentine,Sentimental,1-3 years,Gaming,Enjoys luxury items,Very Popular,Expression of Love,Highly Appreciated,Courier,Eco-Friendly,Perfume
Non-Binary,27,Engaged,Medium ($20-$100),Long-Distance Valentine,Luxury,3+ years,Fashion,Prefers practical gifts,Rare Choice,Apology,Highly Appreciated,Online Delivery,Fancy Wrapping,Flowers
Other,32,Complicated,Medium ($20-$100),Anniversary Valentine,Luxury,<6 months,Travel,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Minimalist,Personalized Gift
Male,45,Single,Luxury (>$500),First Valentine,Luxury,6 months - 1 year,Technology,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Perfume
Female,43,Engaged,Luxury (>$500),Long-Distance Valentine,Sentimental,3+ years,Cooking,Prefers experiences over items,Very Popular,Spontaneous Surprise,Never Given Gift Before,Online Delivery,Minimalist,Flowers
Male,46,Complicated,Medium ($20-$100),Casual Valentine,Romantic,6 months - 1 year,Cooking,Enjoys luxury items,Very Popular,Spontaneous Surprise,Disliked,In-Person,Minimalist,Tech Gadgets
Other,53,Single,High ($100-$500),Casual Valentine,Sentimental,<6 months,Technology,Loves surprises,Very Popular,Apology,Neutral,Planned Surprise,Fancy Wrapping,Fashion Accessories
Other,53,Married,High ($100-$500),First Valentine,Fun,3+ years,Travel,Tech-savvy,Moderately Popular,Celebration,Disliked,Online Delivery,No Wrapping,Chocolates
Female,47,Complicated,Low (<$20),Long-Distance Valentine,Fun,3+ years,Travel,Enjoys luxury items,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Handmade Gift
Male,47,Complicated,Luxury (>$500),First Valentine,Fun,<6 months,Cooking,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,Subscription Service
Non-Binary,44,Engaged,Medium ($20-$100),Casual Valentine,Surprise,1-3 years,Music,Prefers practical gifts,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,Chocolates
Non-Binary,32,Complicated,Luxury (>$500),Long-Distance Valentine,Practical,<6 months,Travel,Tech-savvy,Moderately Popular,Apology,Neutral,In-Person,Fancy Wrapping,Tech Gadgets
Non-Binary,50,Complicated,Low (<$20),Long-Distance Valentine,Practical,<6 months,Sports,Has allergies,Rare Choice,Apology,Disliked,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Other,18,Single,Medium ($20-$100),First Valentine,Luxury,<6 months,Fitness,Prefers practical gifts,Very Popular,Apology,Neutral,Planned Surprise,Eco-Friendly,Fashion Accessories
Non-Binary,47,Engaged,Low (<$20),First Valentine,Romantic,3+ years,Technology,Has allergies,Rare Choice,Celebration,Disliked,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,46,Dating,Low (<$20),First Valentine,Fun,1-3 years,Fashion,Prefers practical gifts,Moderately Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Subscription Service
Non-Binary,33,Married,Low (<$20),First Valentine,Luxury,<6 months,Travel,Prefers experiences over items,Very Popular,Celebration,Highly Appreciated,Courier,Minimalist,Flowers
Female,39,Single,High ($100-$500),First Valentine,Romantic,3+ years,Reading,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Courier,Fancy Wrapping,Subscription Service
Non-Binary,23,Married,Luxury (>$500),Anniversary Valentine,Luxury,1-3 years,Gaming,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,28,Complicated,Low (<$20),Long-Distance Valentine,Luxury,6 months - 1 year,Music,Loves surprises,Very Popular,Celebration,Highly Appreciated,Courier,No Wrapping,Fashion Accessories
Other,46,Engaged,Luxury (>$500),Casual Valentine,Surprise,<6 months,Technology,Prefers experiences over items,Very Popular,Expression of Love,Disliked,Planned Surprise,Minimalist,Tech Gadgets
Non-Binary,53,Engaged,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Cooking,Has allergies,Moderately Popular,Apology,Neutral,Online Delivery,Fancy Wrapping,Chocolates
Male,28,Single,Luxury (>$500),Long-Distance Valentine,Practical,6 months - 1 year,Art,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Jewelry
Female,40,Complicated,Low (<$20),Long-Distance Valentine,Practical,1-3 years,Reading,Has allergies,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,Personalized Gift
Male,57,Married,Luxury (>$500),First Valentine,Romantic,<6 months,Technology,Prefers experiences over items,Rare Choice,Celebration,Neutral,Planned Surprise,Fancy Wrapping,Handmade Gift
Male,50,Dating,Luxury (>$500),Long-Distance Valentine,Romantic,6 months - 1 year,Sports,Has allergies,Rare Choice,Apology,Disliked,In-Person,No Wrapping,Chocolates
Female,37,Single,Luxury (>$500),Anniversary Valentine,Fun,<6 months,Fashion,Has allergies,Very Popular,Spontaneous Surprise,Disliked,Planned Surprise,No Wrapping,Handmade Gift
Other,29,Complicated,High ($100-$500),First Valentine,Practical,1-3 years,Fashion,Prefers practical gifts,Moderately Popular,Expression of Love,Never Given Gift Before,Courier,Fancy Wrapping,Jewelry
Male,33,Dating,Low (<$20),Casual Valentine,Romantic,6 months - 1 year,Art,Prefers experiences over items,Rare Choice,Expression of Love,Never Given Gift Before,Courier,No Wrapping,Tech Gadgets
Other,52,Dating,High ($100-$500),Casual Valentine,Practical,<6 months,Art,Loves surprises,Rare Choice,Spontaneous Surprise,Neutral,Planned Surprise,Fancy Wrapping,Chocolates
Male,39,Single,Low (<$20),Long-Distance Valentine,Practical,1-3 years,Fashion,Prefers practical gifts,Rare Choice,Celebration,Neutral,In-Person,No Wrapping,Tech Gadgets
Male,19,Dating,Medium ($20-$100),First Valentine,Sentimental,<6 months,Art,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Disliked,In-Person,Fancy Wrapping,Flowers
Non-Binary,28,Dating,High ($100-$500),First Valentine,Surprise,<6 months,Fashion,Has allergies,Rare Choice,Apology,Neutral,Online Delivery,Eco-Friendly,Tech Gadgets
Other,30,Complicated,Low (<$20),Anniversary Valentine,Romantic,3+ years,Travel,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Subscription Service
Other,37,Engaged,Medium ($20-$100),Casual Valentine,Practical,<6 months,Cooking,Enjoys luxury items,Very Popular,Apology,Neutral,Planned Surprise,Fancy Wrapping,Subscription Service
Female,22,Married,Luxury (>$500),First Valentine,Practical,<6 months,Fashion,Enjoys luxury items,Very Popular,Apology,Disliked,Courier,Minimalist,Jewelry
Female,40,Single,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Reading,Has allergies,Moderately Popular,Expression of Love,Highly Appreciated,Courier,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Female,35,Single,Luxury (>$500),First Valentine,Surprise,3+ years,Gaming,Enjoys luxury items,Very Popular,Apology,Neutral,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,53,Complicated,High ($100-$500),Casual Valentine,Practical,1-3 years,Gaming,Has allergies,Very Popular,Spontaneous Surprise,Disliked,Planned Surprise,Minimalist,Subscription Service
Female,30,Single,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Art,Tech-savvy,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,Minimalist,Jewelry
Non-Binary,24,Dating,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Fitness,Handmade gifts appreciated,Rare Choice,Celebration,Never Given Gift Before,Courier,Eco-Friendly,Handmade Gift
Other,18,Complicated,High ($100-$500),First Valentine,Fun,1-3 years,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Never Given Gift Before,Planned Surprise,Eco-Friendly,Fashion Accessories
Other,33,Complicated,High ($100-$500),Long-Distance Valentine,Romantic,1-3 years,Technology,Prefers experiences over items,Moderately Popular,Apology,Neutral,In-Person,Minimalist,Tech Gadgets
Male,55,Engaged,Low (<$20),Long-Distance Valentine,Practical,6 months - 1 year,Music,Handmade gifts appreciated,Moderately Popular,Celebration,Neutral,Online Delivery,No Wrapping,Jewelry
Male,25,Complicated,Low (<$20),Casual Valentine,Sentimental,<6 months,Reading,Loves surprises,Moderately Popular,Expression of Love,Never Given Gift Before,Online Delivery,Minimalist,Chocolates
Non-Binary,46,Single,Medium ($20-$100),Anniversary Valentine,Luxury,1-3 years,Sports,Has allergies,Very Popular,Apology,Disliked,Online Delivery,Minimalist,Handmade Gift
Male,40,Engaged,High ($100-$500),First Valentine,Fun,1-3 years,Travel,Has allergies,Moderately Popular,Celebration,Disliked,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,42,Complicated,Medium ($20-$100),Casual Valentine,Luxury,6 months - 1 year,Travel,Prefers experiences over items,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Flowers
Non-Binary,34,Complicated,Luxury (>$500),Casual Valentine,Surprise,<6 months,Technology,Prefers practical gifts,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,Minimalist,Jewelry
Non-Binary,53,Complicated,Luxury (>$500),First Valentine,Sentimental,6 months - 1 year,Cooking,Prefers practical gifts,Very Popular,Apology,Neutral,Planned Surprise,No Wrapping,Jewelry
Other,56,Complicated,Medium ($20-$100),Casual Valentine,Romantic,6 months - 1 year,Reading,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Personalized Gift
Other,37,Engaged,High ($100-$500),Anniversary Valentine,Fun,1-3 years,Fashion,Tech-savvy,Very Popular,Celebration,Never Given Gift Before,Online Delivery,No Wrapping,Tech Gadgets
Other,20,Single,High ($100-$500),First Valentine,Sentimental,6 months - 1 year,Reading,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Eco-Friendly,Jewelry
Female,21,Married,High ($100-$500),Long-Distance Valentine,Fun,<6 months,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Never Given Gift Before,Courier,Fancy Wrapping,Handmade Gift
Other,38,Single,Medium ($20-$100),Long-Distance Valentine,Fun,6 months - 1 year,Travel,Tech-savvy,Rare Choice,Expression of Love,Disliked,Courier,Fancy Wrapping,Subscription Service
Female,45,Engaged,High ($100-$500),Long-Distance Valentine,Surprise,6 months - 1 year,Gaming,Prefers experiences over items,Very Popular,Celebration,Highly Appreciated,In-Person,Minimalist,Subscription Service
Female,47,Single,Luxury (>$500),Casual Valentine,Luxury,1-3 years,Fashion,Prefers experiences over items,Rare Choice,Apology,Highly Appreciated,In-Person,Fancy Wrapping,Jewelry
